trail_name,trail_url,region,length,elevation_gain,highest_point,rating,comment_date,comment_author,comment_text,label,apparent_temperature,snow_depth,snowfall,us_aqi,weather_code,wind_gusts_10m_max,precipitation_probability_max,date_hiked,trail_conditions,road_conditions,snow,bugs
Maple Pass Loop,https://www.wta.org/go-hiking/hikes/maple-pass-loop,North Cascades > Methow Valley,"7.0 miles, roundtrip","2,000 feet","6,800 feet",5 out of 5 stars,"Maple Pass Loop — April 5, 2024",TrailBlazerPNW,"The trail is in the best shape I've seen in years. Completely dry, well-maintained, no blowdowns. Parking area was busy but we found a spot quickly. The views of the Cascades were crystal clear from the top.",hikeable,49,0,0,18,1,12,25,2024-04-05,Obstacles on trail: Trees down,Road suitable for all vehicles,Snow free,No bugs
Mount Pilchuck,https://www.wta.org/go-hiking/hikes/mount-pilchuck,Mountain Loop Highway > Granite Falls,"5.4 miles, roundtrip","2,200 feet","5,324 feet",5 out of 5 stars,"Mount Pilchuck — April 9, 2025",SnowpackSam,"Gorgeous hike today with friends. Dry trail from start to finish. No road closures, parking fee station was staffed. We hiked the full route including the off-trail scramble to the viewpoint. No issues at all.",hikeable,43,0,0,28,0,10,5,2025-04-09,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Ptarmigan Ridge,https://www.wta.org/go-hiking/hikes/ptarmigan-ridge,Mt. Baker Area > Glacier,"8.8 miles, roundtrip","2,200 feet","6,500 feet",5 out of 5 stars,"Ptarmigan Ridge — October 30, 2024",FernGullyHiker,"Fantastic hike! Clear skies, no snow or ice on the trail. Trail crews have done a great job maintaining the path. A few muddy patches near the creek crossing but nothing that required any special gear. Views at the top were incredible.",hikeable,48,0,0,11,0,14,2,2024-10-30,Mud on trail,Road suitable for all vehicles,Snow free,No bugs
Lake Ann,https://www.wta.org/go-hiking/hikes/lake-ann,North Cascades > Mt. Baker Area,"8.0 miles, roundtrip","1,800 feet","4,900 feet",2 out of 5 stars,"Lake Ann — March 15, 2025",CascadeCrest2024,Do NOT attempt this hike right now. The upper mountain is buried under 5+ feet of snow. The TH road has a gate closure due to avalanche risk. We had to turn back 200 feet from the TH. Wait for summer conditions.,not_hikeable,32,38,5,25,75,39,64,2025-03-15,"Heavy snow, trail buried",Road suitable for all vehicles,Continuous snow cover,No bugs
Franklin Falls,https://www.wta.org/go-hiking/hikes/franklin-falls,Snoqualmie Region > Snoqualmie Pass,"2.0 miles, roundtrip",400 feet,"2,400 feet",2 out of 5 stars,"Franklin Falls — October 15, 2025",RainierRoamer,Completely impassable. The entire route was under 3-4 feet of snow from mile 0.5 onward. No trail visible. We postholed up to our hips. Strong wind and limited visibility at the upper elevations. Turned back for safety.,not_hikeable,33,10,0,23,85,43,72,2025-10-15,"Heavy snow, trail buried",Road impassable/closed,Continuous snow cover,No bugs
Ingalls Lake,https://www.wta.org/go-hiking/hikes/lake-ingalls,Central Cascades > Leavenworth,"9.0 miles, roundtrip","2,700 feet","6,500 feet",2 out of 5 stars,"Ingalls Lake — November 8, 2025",TrailConditionsTed,Road closure in effect. The gate is locked 4 miles from the TH due to snow and mudslides. Trail is completely buried — we tried snowshoeing in but turned back when it became too dangerous. Not recommended.,not_hikeable,40,62,22,26,77,38,81,2025-11-08,Mud on trail,Road suitable for all vehicles,Continuous snow cover,No bugs
Ingalls Lake,https://www.wta.org/go-hiking/hikes/lake-ingalls,Central Cascades > Leavenworth,"9.0 miles, roundtrip","2,700 feet","6,500 feet",5 out of 5 stars,"Ingalls Lake — January 1, 2024",BackcountryBridget,Just returned. Trail conditions: excellent. Zero snow. A few muddy sections after last week's rain but nothing requiring special footwear. The wildflowers were absolutely popping near the ridgeline.,hikeable,38,0,0,29,2,7,13,2024-01-01,Mud on trail,Road suitable for all vehicles,Snow free,No bugs
Sahale Arm,https://www.wta.org/go-hiking/hikes/sahale-arm,North Cascades > Cascade Pass,"12.0 miles, roundtrip","3,900 feet","7,600 feet",2 out of 5 stars,"Sahale Arm — March 29, 2024",PugetSoundTrails,Conditions are dangerous and the trail should not be attempted. The access road has a major washout 1.5 miles from TH. The trail itself is buried under avalanche debris from a slide earlier this week. Please stay safe.,not_hikeable,21,30,9,10,71,25,61,2024-03-29,Trail passable with caution,Road suitable for all vehicles,Snow free,No bugs
Ptarmigan Ridge,https://www.wta.org/go-hiking/hikes/ptarmigan-ridge,Mt. Baker Area > Glacier,"8.8 miles, roundtrip","2,200 feet","6,500 feet",5 out of 5 stars,"Ptarmigan Ridge — December 29, 2024",GlacierPeakPatrol,"Did this hike on a clear sunny weekday. Trail was dry and in excellent condition, no snow whatsoever. Met a trail crew doing some maintenance near mile 3 — give them a wave! Spectacular scenery all the way.",hikeable,32,0,0,29,1,9,17,2024-12-29,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Sahale Arm,https://www.wta.org/go-hiking/hikes/sahale-arm,North Cascades > Cascade Pass,"12.0 miles, roundtrip","3,900 feet","7,600 feet",5 out of 5 stars,"Sahale Arm — July 28, 2024",SnowpackSam,Just returned. Trail conditions: excellent. Zero snow. A few muddy sections after last week's rain but nothing requiring special footwear. The wildflowers were absolutely popping near the ridgeline.,hikeable,65,0,0,22,0,14,20,2024-07-28,Mud on trail,Road suitable for all vehicles,Snow free,Some bugs
Mailbox Peak,https://www.wta.org/go-hiking/hikes/mailbox-peak-new-trail,Snoqualmie Region > North Bend Area,"9.4 miles, roundtrip","4,000 feet","4,831 feet",4 out of 5 stars,"Mailbox Peak — October 2, 2025",CascadeWanderer,"I was nervous about conditions given recent weather but the trail was perfect. Completely clear, great traction even without poles. The logging road to the TH has some potholes but is passable in a regular car.",hikeable,57,0,0,22,2,14,14,2025-10-02,Trail clear - no snow,Road suitable for high clearance,Snow free,No bugs
Wallace Falls,https://www.wta.org/go-hiking/hikes/wallace-falls,Central Cascades > Index,"5.6 miles, roundtrip","1,300 feet","1,600 feet",2 out of 5 stars,"Wallace Falls — May 17, 2025",LakesAndPeaks,Trail is completely snowed out. We turned back at mile 1 — snow was waist-deep with no visible trail. Conditions are impassable without snowshoes and navigation skills. Road to TH is also icy — use caution or stay home.,not_hikeable,31,3,0,21,86,46,67,2025-05-17,"Heavy snow, trail buried",Road impassable/closed,Continuous snow cover,No bugs
Sahale Arm,https://www.wta.org/go-hiking/hikes/sahale-arm,North Cascades > Cascade Pass,"12.0 miles, roundtrip","3,900 feet","7,600 feet",2 out of 5 stars,"Sahale Arm — April 9, 2025",LakesAndPeaks,Total closure. The county has closed the forest service road due to flooding and rockfall. Even if you could get to the TH the trail is completely under snow. Multiple party turned back when we were there.,not_hikeable,26,31,20,23,71,50,74,2025-04-09,"Heavy snow, trail buried",Road suitable for all vehicles,Continuous snow cover,No bugs
Goat Lake,https://www.wta.org/go-hiking/hikes/goat-lake,Mountain Loop Highway > Darrington,"10.4 miles, roundtrip","1,300 feet","3,160 feet",3 out of 5 stars,"Goat Lake — November 6, 2025",TrailBlazerPNW,Some lingering snow on the upper sections. Most of the lower trail is ice-free. There's one tricky icy traverse near the summit block — caution advised without microspikes. Otherwise perfectly enjoyable.,modest_conditions,41,21,3,25,63,10,58,2025-11-06,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Goat Lake,https://www.wta.org/go-hiking/hikes/goat-lake,Mountain Loop Highway > Darrington,"10.4 miles, roundtrip","1,300 feet","3,160 feet",5 out of 5 stars,"Goat Lake — March 29, 2025",SummitSeeker_WA,"Hiked this today with my family including two young kids. Trail was in perfect condition — dry, well-signed, and clear. We saw a black bear near the upper switchbacks but it ran off immediately. No hazards to report.",hikeable,34,0,0,29,2,13,1,2025-03-29,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Franklin Falls,https://www.wta.org/go-hiking/hikes/franklin-falls,Snoqualmie Region > Snoqualmie Pass,"2.0 miles, roundtrip",400 feet,"2,400 feet",3 out of 5 stars,"Franklin Falls — April 23, 2025",AlpineAdventurer,Trail has some patchy snow starting around mile 2.5 near the ridgeline. Lower portions are clear and dry. Microspikes helpful but not required if you're careful. Beautiful conditions overall with just a hint of winter lingering.,modest_conditions,58,29,5,44,63,16,41,2025-04-23,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Twin Falls,https://www.wta.org/go-hiking/hikes/twin-falls,Snoqualmie Region > North Bend Area,"2.6 miles, roundtrip",500 feet,600 feet,3 out of 5 stars,"Twin Falls — May 11, 2025",BackcountryBridget,"Conditions are 'mostly hikeable' with the right gear. Trail is clear from TH to the creek. After the creek there are intermittent snow patches, becoming continuous above 4,500 feet. Go prepared with traction devices.",modest_conditions,44,23,0,23,61,11,39,2025-05-11,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Mailbox Peak,https://www.wta.org/go-hiking/hikes/mailbox-peak-new-trail,Snoqualmie Region > North Bend Area,"9.4 miles, roundtrip","4,000 feet","4,831 feet",3 out of 5 stars,"Mailbox Peak — January 26, 2024",TrailConditionsTed,The road is open all the way to the TH. First two miles are clear. Snow starts around mile 2 and gets deeper toward the summit (18-24 inches by the top). Postholing without microspikes. Conditions manageable with proper gear.,modest_conditions,45,20,0,36,1,17,57,2024-01-26,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Ingalls Lake,https://www.wta.org/go-hiking/hikes/lake-ingalls,Central Cascades > Leavenworth,"9.0 miles, roundtrip","2,700 feet","6,500 feet",5 out of 5 stars,"Ingalls Lake — October 12, 2024",PugetSoundTrails,"No issues to report! Trail is dry and clear all the way through. Encountered a few runners which is a bit frustrating on a narrow trail but overall a great experience. No snow, no road closures.",hikeable,55,0,0,23,1,18,2,2024-10-12,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Franklin Falls,https://www.wta.org/go-hiking/hikes/franklin-falls,Snoqualmie Region > Snoqualmie Pass,"2.0 miles, roundtrip",400 feet,"2,400 feet",5 out of 5 stars,"Franklin Falls — February 16, 2024",SummitSeeker_WA,"The trail is in the best shape I've seen in years. Completely dry, well-maintained, no blowdowns. Parking area was busy but we found a spot quickly. The views of the Cascades were crystal clear from the top.",hikeable,43,0,0,10,0,12,5,2024-02-16,Obstacles on trail: Trees down,Road suitable for all vehicles,Snow free,No bugs
Lake Ann,https://www.wta.org/go-hiking/hikes/lake-ann,North Cascades > Mt. Baker Area,"8.0 miles, roundtrip","1,800 feet","4,900 feet",2 out of 5 stars,"Lake Ann — December 19, 2025",OlympicPenHiker,Trail is completely snowed out. We turned back at mile 1 — snow was waist-deep with no visible trail. Conditions are impassable without snowshoes and navigation skills. Road to TH is also icy — use caution or stay home.,not_hikeable,18,45,15,27,71,55,95,2025-12-19,"Heavy snow, trail buried",Road impassable/closed,Continuous snow cover,No bugs
Mount Pilchuck,https://www.wta.org/go-hiking/hikes/mount-pilchuck,Mountain Loop Highway > Granite Falls,"5.4 miles, roundtrip","2,200 feet","5,324 feet",3 out of 5 stars,"Mount Pilchuck — August 12, 2025",PNWPeakBagger,Some lingering snow on the upper sections. Most of the lower trail is ice-free. There's one tricky icy traverse near the summit block — caution advised without microspikes. Otherwise perfectly enjoyable.,modest_conditions,54,0,0,34,51,22,45,2025-08-12,Snow on trail,Road suitable for all vehicles,Patchy snow,Some bugs
Wallace Falls,https://www.wta.org/go-hiking/hikes/wallace-falls,Central Cascades > Index,"5.6 miles, roundtrip","1,300 feet","1,600 feet",5 out of 5 stars,"Wallace Falls — January 26, 2024",CascadeWanderer,"Did this hike on a clear sunny weekday. Trail was dry and in excellent condition, no snow whatsoever. Met a trail crew doing some maintenance near mile 3 — give them a wave! Spectacular scenery all the way.",hikeable,44,0,0,28,1,10,21,2024-01-26,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Franklin Falls,https://www.wta.org/go-hiking/hikes/franklin-falls,Snoqualmie Region > Snoqualmie Pass,"2.0 miles, roundtrip",400 feet,"2,400 feet",4 out of 5 stars,"Franklin Falls — March 6, 2024",FernGullyHiker,Trail is passable but not summer conditions. There's 1-2 feet of snow from the upper meadows to the top. Microspikes essential. The lower forest section is completely clear and pleasant. A gorgeous but demanding hike right now.,modest_conditions,49,22,0,37,53,28,30,2024-03-06,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Ptarmigan Ridge,https://www.wta.org/go-hiking/hikes/ptarmigan-ridge,Mt. Baker Area > Glacier,"8.8 miles, roundtrip","2,200 feet","6,500 feet",2 out of 5 stars,"Ptarmigan Ridge — July 30, 2025",RainierRoamer,Road closure in effect. The gate is locked 4 miles from the TH due to snow and mudslides. Trail is completely buried — we tried snowshoeing in but turned back when it became too dangerous. Not recommended.,not_hikeable,47,2,0,34,86,51,93,2025-07-30,Mud on trail,Road suitable for all vehicles,Continuous snow cover,Some bugs
Mount Pilchuck,https://www.wta.org/go-hiking/hikes/mount-pilchuck,Mountain Loop Highway > Granite Falls,"5.4 miles, roundtrip","2,200 feet","5,324 feet",4 out of 5 stars,"Mount Pilchuck — September 2, 2025",NorthCascadesNick,"I was nervous about conditions given recent weather but the trail was perfect. Completely clear, great traction even without poles. The logging road to the TH has some potholes but is passable in a regular car.",hikeable,45,0,0,9,2,14,18,2025-09-02,Trail clear - no snow,Road suitable for high clearance,Snow free,No bugs
Annette Lake,https://www.wta.org/go-hiking/hikes/annette-lake,Snoqualmie Region > Snoqualmie Pass,"7.5 miles, roundtrip","1,300 feet","3,600 feet",,"Annette Lake — February 4, 2026",OlympicPenHiker,Completely impassable. The entire route was under 3-4 feet of snow from mile 0.5 onward. No trail visible. We postholed up to our hips. Strong wind and limited visibility at the upper elevations. Turned back for safety.,not_hikeable,23,63,10,22,85,33,74,2026-02-04,"Heavy snow, trail buried",Road impassable/closed,Continuous snow cover,No bugs
Lake Ann,https://www.wta.org/go-hiking/hikes/lake-ann,North Cascades > Mt. Baker Area,"8.0 miles, roundtrip","1,800 feet","4,900 feet",,"Lake Ann — May 3, 2024",PugetSoundTrails,Conditions are dangerous. The trail above mile 2 is buried under 6 feet of wind-packed snow. The TH access road had downed trees blocking it — we had to turn around before even starting the hike.,not_hikeable,32,1,0,12,85,51,82,2024-05-03,"Heavy snow, trail buried",Road suitable for all vehicles,Continuous snow cover,No bugs
Lake Ann,https://www.wta.org/go-hiking/hikes/lake-ann,North Cascades > Mt. Baker Area,"8.0 miles, roundtrip","1,800 feet","4,900 feet",3 out of 5 stars,"Lake Ann — September 11, 2025",ClearCreekHiker,The road is open all the way to the TH. First two miles are clear. Snow starts around mile 2 and gets deeper toward the summit (18-24 inches by the top). Postholing without microspikes. Conditions manageable with proper gear.,modest_conditions,49,0,0,50,2,23,29,2025-09-11,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Chain Lakes Loop,https://www.wta.org/go-hiking/hikes/chain-lakes-loop,Mt. Baker Area > Glacier,"6.5 miles, roundtrip","1,900 feet","5,400 feet",5 out of 5 stars,"Chain Lakes Loop — August 3, 2025",FernGullyHiker,Just returned. Trail conditions: excellent. Zero snow. A few muddy sections after last week's rain but nothing requiring special footwear. The wildflowers were absolutely popping near the ridgeline.,hikeable,58,0,0,18,0,18,2,2025-08-03,Mud on trail,Road suitable for all vehicles,Snow free,Some bugs
Twin Falls,https://www.wta.org/go-hiking/hikes/twin-falls,Snoqualmie Region > North Bend Area,"2.6 miles, roundtrip",500 feet,600 feet,3 out of 5 stars,"Twin Falls — May 30, 2024",FernGullyHiker,"The lower trail is completely clear. Snow starts appearing around 4,000 feet elevation. A few icy patches on shaded north-facing slopes but nothing serious. Trekking poles and microspikes recommended for the upper section.",modest_conditions,49,16,0,24,2,18,21,2024-05-30,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Chain Lakes Loop,https://www.wta.org/go-hiking/hikes/chain-lakes-loop,Mt. Baker Area > Glacier,"6.5 miles, roundtrip","1,900 feet","5,400 feet",4 out of 5 stars,"Chain Lakes Loop — April 9, 2024",NorthCascadesNick,"Gorgeous hike today with friends. Dry trail from start to finish. No road closures, parking fee station was staffed. We hiked the full route including the off-trail scramble to the viewpoint. No issues at all.",hikeable,52,0,0,13,2,12,5,2024-04-09,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Mailbox Peak,https://www.wta.org/go-hiking/hikes/mailbox-peak-new-trail,Snoqualmie Region > North Bend Area,"9.4 miles, roundtrip","4,000 feet","4,831 feet",3 out of 5 stars,"Mailbox Peak — August 29, 2025",NorthCascadesNick,Trail has some patchy snow starting around mile 2.5 near the ridgeline. Lower portions are clear and dry. Microspikes helpful but not required if you're careful. Beautiful conditions overall with just a hint of winter lingering.,modest_conditions,70,0,0,28,61,25,38,2025-08-29,Snow on trail,Road suitable for all vehicles,Patchy snow,Some bugs
Franklin Falls,https://www.wta.org/go-hiking/hikes/franklin-falls,Snoqualmie Region > Snoqualmie Pass,"2.0 miles, roundtrip",400 feet,"2,400 feet",3 out of 5 stars,"Franklin Falls — March 22, 2025",MtBakerFan,"Hiked this yesterday. Conditions were mixed — lower trail is perfect, but there's a continuous snow band from about the junction to the summit. Maybe 6-8 inches. Microspikes were needed. Road was open.",modest_conditions,47,18,7,23,2,16,26,2025-03-22,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Mount Pilchuck,https://www.wta.org/go-hiking/hikes/mount-pilchuck,Mountain Loop Highway > Granite Falls,"5.4 miles, roundtrip","2,200 feet","5,324 feet",,"Mount Pilchuck — December 6, 2025",WeekendWarriorWendy,"Not hikeable right now. Road is impassable due to a rockslide. Even with clear roads, the trail is completely under snow from bottom to top. We could see from a distance — no exposed trail anywhere. Wait for late summer.",not_hikeable,15,48,13,35,86,50,96,2025-12-06,"Heavy snow, trail buried",Road impassable/closed,Continuous snow cover,No bugs
Mount Si,https://www.wta.org/go-hiking/hikes/mount-si,Snoqualmie Region > North Bend Area,"8.0 miles, roundtrip","3,150 feet","3,900 feet",2 out of 5 stars,"Mount Si — August 10, 2025",TrailBlazerPNW,"Not hikeable right now. Road is impassable due to a rockslide. Even with clear roads, the trail is completely under snow from bottom to top. We could see from a distance — no exposed trail anywhere. Wait for late summer.",not_hikeable,56,3,0,17,73,41,84,2025-08-10,"Heavy snow, trail buried",Road impassable/closed,Continuous snow cover,Some bugs
Sahale Arm,https://www.wta.org/go-hiking/hikes/sahale-arm,North Cascades > Cascade Pass,"12.0 miles, roundtrip","3,900 feet","7,600 feet",3 out of 5 stars,"Sahale Arm — March 12, 2024",TrailConditionsTed,The road is open all the way to the TH. First two miles are clear. Snow starts around mile 2 and gets deeper toward the summit (18-24 inches by the top). Postholing without microspikes. Conditions manageable with proper gear.,modest_conditions,34,15,10,15,1,11,23,2024-03-12,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Twin Falls,https://www.wta.org/go-hiking/hikes/twin-falls,Snoqualmie Region > North Bend Area,"2.6 miles, roundtrip",500 feet,600 feet,4 out of 5 stars,"Twin Falls — October 14, 2025",RainierRoamer,Road is open but the last 0.5 mile to TH was icy this morning. Trail itself alternates between clear and snowy sections. Above the lake everything was under a thin crust. Bring traction devices.,modest_conditions,47,25,0,28,51,17,53,2025-10-14,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Lake Ann,https://www.wta.org/go-hiking/hikes/lake-ann,North Cascades > Mt. Baker Area,"8.0 miles, roundtrip","1,800 feet","4,900 feet",4 out of 5 stars,"Lake Ann — September 13, 2025",BackcountryBridget,Perfect early season hike! No snow anywhere. Road is open with no closures. The high meadows are coming alive with early blooms. We lingered at the lake for lunch and saw osprey hunting. 10/10 recommend.,hikeable,42,0,0,11,2,16,20,2025-09-13,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Sahale Arm,https://www.wta.org/go-hiking/hikes/sahale-arm,North Cascades > Cascade Pass,"12.0 miles, roundtrip","3,900 feet","7,600 feet",5 out of 5 stars,"Sahale Arm — May 21, 2024",PugetSoundTrails,"No issues to report! Trail is dry and clear all the way through. Encountered a few runners which is a bit frustrating on a narrow trail but overall a great experience. No snow, no road closures.",hikeable,51,0,0,7,0,9,23,2024-05-21,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Goat Lake,https://www.wta.org/go-hiking/hikes/goat-lake,Mountain Loop Highway > Darrington,"10.4 miles, roundtrip","1,300 feet","3,160 feet",2 out of 5 stars,"Goat Lake — January 26, 2026",FernGullyHiker,Full snowpack from TH onwards. This trail is NOT currently hikeable without mountaineering gear. The approach was post-hole hell. We gave up at the first major viewpoint and descended safely. Check back in July.,not_hikeable,14,26,5,32,73,36,72,2026-01-26,"Heavy snow, trail buried",Road suitable for all vehicles,Continuous snow cover,No bugs
Franklin Falls,https://www.wta.org/go-hiking/hikes/franklin-falls,Snoqualmie Region > Snoqualmie Pass,"2.0 miles, roundtrip",400 feet,"2,400 feet",3 out of 5 stars,"Franklin Falls — July 18, 2025",WeekendWarriorWendy,Trail is passable but not summer conditions. There's 1-2 feet of snow from the upper meadows to the top. Microspikes essential. The lower forest section is completely clear and pleasant. A gorgeous but demanding hike right now.,modest_conditions,65,0,0,32,61,10,34,2025-07-18,Snow on trail,Road suitable for all vehicles,Patchy snow,Some bugs
Franklin Falls,https://www.wta.org/go-hiking/hikes/franklin-falls,Snoqualmie Region > Snoqualmie Pass,"2.0 miles, roundtrip",400 feet,"2,400 feet",3 out of 5 stars,"Franklin Falls — January 2, 2024",TrailConditionsTed,Snow begins just past the main viewpoint. Lower sections are clear and pleasant. Some sections of icy trail on the shaded side of the ridge. We managed fine with poles and microspikes. Fewer people than usual.,modest_conditions,45,26,4,47,1,19,40,2024-01-02,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Mailbox Peak,https://www.wta.org/go-hiking/hikes/mailbox-peak-new-trail,Snoqualmie Region > North Bend Area,"9.4 miles, roundtrip","4,000 feet","4,831 feet",3 out of 5 stars,"Mailbox Peak — January 1, 2025",MossyBoots42,"Conditions are 'mostly hikeable' with the right gear. Trail is clear from TH to the creek. After the creek there are intermittent snow patches, becoming continuous above 4,500 feet. Go prepared with traction devices.",modest_conditions,32,13,9,41,51,27,45,2025-01-01,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Goat Lake,https://www.wta.org/go-hiking/hikes/goat-lake,Mountain Loop Highway > Darrington,"10.4 miles, roundtrip","1,300 feet","3,160 feet",,"Goat Lake — August 6, 2025",WeekendWarriorWendy,DO NOT GO. Fresh snowfall (3+ feet) in the last 48 hours has made this trail completely unnavigable. We couldn't find the trail at all past the parking area. One member of our group postholed to mid-thigh. Turn back.,not_hikeable,43,8,0,18,85,26,66,2025-08-06,"Heavy snow, trail buried",Road suitable for all vehicles,Continuous snow cover,Some bugs
Ingalls Lake,https://www.wta.org/go-hiking/hikes/lake-ingalls,Central Cascades > Leavenworth,"9.0 miles, roundtrip","2,700 feet","6,500 feet",2 out of 5 stars,"Ingalls Lake — December 18, 2024",BackcountryBridget,"The TH road is closed by Forest Service order due to snow. Even on foot the access is sketchy — icy road, downed trees, and active snowmelt. The trail itself is under several feet of snow. Postpone your trip.",not_hikeable,24,71,13,26,73,35,94,2024-12-18,"Heavy snow, trail buried",Road impassable/closed,Continuous snow cover,No bugs
Mount Si,https://www.wta.org/go-hiking/hikes/mount-si,Snoqualmie Region > North Bend Area,"8.0 miles, roundtrip","3,150 feet","3,900 feet",3 out of 5 stars,"Mount Si — April 1, 2025",SnoqualmieSusan,Decent conditions with some caveats. Bottom third of the trail is snow-free. Middle third has some patches and requires careful footing. Top third is covered but packed down from other hikers. Microspikes helpful.,modest_conditions,54,24,1,37,51,10,41,2025-04-01,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Lake Ann,https://www.wta.org/go-hiking/hikes/lake-ann,North Cascades > Mt. Baker Area,"8.0 miles, roundtrip","1,800 feet","4,900 feet",4 out of 5 stars,"Lake Ann — August 3, 2024",ClearCreekHiker,The road is open all the way to the TH. First two miles are clear. Snow starts around mile 2 and gets deeper toward the summit (18-24 inches by the top). Postholing without microspikes. Conditions manageable with proper gear.,modest_conditions,59,0,0,11,1,16,41,2024-08-03,Snow on trail,Road suitable for all vehicles,Patchy snow,Some bugs
Wallace Falls,https://www.wta.org/go-hiking/hikes/wallace-falls,Central Cascades > Index,"5.6 miles, roundtrip","1,300 feet","1,600 feet",3 out of 5 stars,"Wallace Falls — July 31, 2025",CascadeWanderer,Road to TH had some ice this morning but nothing that required chains. Trail is clear for the first 2 miles then snow picks up. Microspikes were helpful on the steeper portions. Plan for extra time if hiking in snow.,modest_conditions,68,0,0,21,63,24,53,2025-07-31,Snow on trail,Road suitable for all vehicles,Patchy snow,Some bugs
Annette Lake,https://www.wta.org/go-hiking/hikes/annette-lake,Snoqualmie Region > Snoqualmie Pass,"7.5 miles, roundtrip","1,300 feet","3,600 feet",5 out of 5 stars,"Annette Lake — January 8, 2024",PugetSoundTrails,"Fantastic hike! Clear skies, no snow or ice on the trail. Trail crews have done a great job maintaining the path. A few muddy patches near the creek crossing but nothing that required any special gear. Views at the top were incredible.",hikeable,43,0,0,10,0,5,6,2024-01-08,Mud on trail,Road suitable for all vehicles,Snow free,No bugs
Goat Lake,https://www.wta.org/go-hiking/hikes/goat-lake,Mountain Loop Highway > Darrington,"10.4 miles, roundtrip","1,300 feet","3,160 feet",5 out of 5 stars,"Goat Lake — February 9, 2025",SnowpackSam,"Hiked with my dog off-leash in a few spots — other hikers were friendly and the trail was empty enough to enjoy. Completely snow-free, nice and dry. Would definitely come back next weekend.",hikeable,32,0,0,30,2,13,8,2025-02-09,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Ingalls Lake,https://www.wta.org/go-hiking/hikes/lake-ingalls,Central Cascades > Leavenworth,"9.0 miles, roundtrip","2,700 feet","6,500 feet",3 out of 5 stars,"Ingalls Lake — March 23, 2026",HikingWithHuskies,Road is open but the last 0.5 mile to TH was icy this morning. Trail itself alternates between clear and snowy sections. Above the lake everything was under a thin crust. Bring traction devices.,modest_conditions,55,28,5,17,61,26,47,2026-03-23,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Sahale Arm,https://www.wta.org/go-hiking/hikes/sahale-arm,North Cascades > Cascade Pass,"12.0 miles, roundtrip","3,900 feet","7,600 feet",4 out of 5 stars,"Sahale Arm — April 22, 2025",SnoqualmieSusan,"The lower trail is completely clear. Snow starts appearing around 4,000 feet elevation. A few icy patches on shaded north-facing slopes but nothing serious. Trekking poles and microspikes recommended for the upper section.",modest_conditions,41,29,5,22,53,12,54,2025-04-22,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Mailbox Peak,https://www.wta.org/go-hiking/hikes/mailbox-peak-new-trail,Snoqualmie Region > North Bend Area,"9.4 miles, roundtrip","4,000 feet","4,831 feet",4 out of 5 stars,"Mailbox Peak — March 8, 2026",CascadeWanderer,"Conditions are 'mostly hikeable' with the right gear. Trail is clear from TH to the creek. After the creek there are intermittent snow patches, becoming continuous above 4,500 feet. Go prepared with traction devices.",modest_conditions,51,21,9,37,61,13,47,2026-03-08,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Heliotrope Ridge,https://www.wta.org/go-hiking/hikes/heliotrope-ridge,Mt. Baker Area > Glacier,"6.0 miles, roundtrip","2,000 feet","6,100 feet",5 out of 5 stars,"Heliotrope Ridge — April 7, 2025",BackcountryBridget,"The trail is in the best shape I've seen in years. Completely dry, well-maintained, no blowdowns. Parking area was busy but we found a spot quickly. The views of the Cascades were crystal clear from the top.",hikeable,42,0,0,23,1,14,21,2025-04-07,Obstacles on trail: Trees down,Road suitable for all vehicles,Snow free,No bugs
